Player,TEAM,AGE,RESTRICTED AREA FGM,RESTRICTED AREA FGA,RESTRICTED AREA FG%,IN THE PAINT (NON-RA) FGM,IN THE PAINT (NON-RA) FGA,IN THE PAINT (NON-RA) FG%,MID-RANGE FGM,MID-RANGE FGA,MID-RANGE FG%,LEFT CORNER 3 FGM,LEFT CORNER 3 FGA,LEFT CORNER 3 FG%,RIGHT CORNER 3 FGM,RIGHT CORNER 3 FGA,RIGHT CORNER 3 FG%,ABOVE THE BREAK 3 FGM,ABOVE THE BREAK 3 FGA,ABOVE THE BREAK 3 FG%
Amir Johnson,TOR,28,2.7,4,65.7,0.9,1.8,48.9,0.2,0.5,40,0,0.1,40,0,0.1,20,0.2,0.5,44.4
Bruno Caboclo,TOR,19,0.3,0.5,50,0,0.5,0,0,0.5,0,0,0,0,0.5,0.5,100,0.3,0.5,50
Chuck Hayes,TOR,32,0.4,1,44.8,0.3,0.6,52.9,0,0,0,0,0,0,0,0,0,0,0,0
DeMar DeRozan,TOR,25,2.2,3.5,62.6,1.2,3.1,38.3,3,8.5,35.8,0.2,0.5,34.4,0.2,0.5,42.3,0.1,0.5,10.3
Greg Stiemsma,TOR,29,0.3,0.4,80,0.1,0.2,50,0.1,0.1,100,0,0,0,0,0,0,0,0,0
Greivis Vasquez,TOR,28,0.7,1.4,50,0.7,1.7,39.6,0.6,1.5,42.1,0.1,0.2,58.8,0.2,0.4,40.6,1.3,3.6,36.8
James Johnson,TOR,28,2.6,3.5,73,0.4,0.9,47.7,0.2,0.6,37.5,0.1,0.2,36.4,0.1,0.2,21.4,0.1,0.4,15.4
Jonas Valanciunas,TOR,23,3.1,4.7,65.2,1.2,2.3,52.2,0.4,1.1,33.7,0,0,0,0,0,0,0,0,0
Kyle Lowry,TOR,29,2.1,3.5,60.3,0.7,1.9,38.1,1.4,3.9,36.6,0.2,0.7,32,0.1,0.2,38.5,1.6,4.7,34
Landry Fields,TOR,27,0.6,1,66.7,0.1,0.6,16.7,0.1,0.3,50,0,0,0,0.1,0.2,50,0,0,0
Lou Williams,TOR,28,0.8,1.5,51.2,0.7,1.4,47.3,1.4,3.1,43.6,0.5,1,47.9,0.2,0.4,48.4,1.3,4.3,29.8
Lucas Nogueira,TOR,22,0.3,0.8,40,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0
Patrick Patterson,TOR,26,0.7,1.2,56.3,0.5,0.9,59.7,0.5,1,45.2,0.3,0.7,41.5,0.3,0.6,40,0.8,2.2,35.2
Terrence Ross,TOR,24,0.8,1.3,57.3,0.3,1,32.9,0.9,2,43.5,0.4,1.1,38.4,0.3,0.7,41.5,1.1,3,36.3
Tyler Hansbrough,TOR,29,1,1.7,57.7,0.1,0.4,38.5,0.1,0.1,44.4,0,0.1,33.3,0,0.1,0,0,0,0
